reviewerID,overall,asin,unixReviewTime
32,"[5.0, 3.0, 5.0, 5.0, 5.0, 4.0, 5.0]","[222, 220, 652, 9, 1438, 2796, 1438]","[15071.0, 15667.0, 15688.0, 15688.0, 15694.0, 15714.0, 16545.0]"
33,"[5.0, 5.0, 5.0, 5.0, 5.0]","[731, 734, 2307, 2614, 732]","[17552.0, 17552.0, 17552.0, 17552.0, 17552.0]"
34,"[5.0, 5.0, 5.0, 5.0, 5.0]","[747, 754, 350, 100, 210]","[17203.0, 17203.0, 17203.0, 17203.0, 17203.0]"
35,"[5.0, 4.0, 4.0, 3.0, 4.0]","[174, 1728, 3933, 4466, 2978]","[14620.0, 16414.0, 16439.0, 16888.0, 17010.0]"
36,"[2.0, 4.0, 5.0, 2.0, 5.0, 2.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[3672, 1539, 720, 1424, 3741, 3762, 1209, 1209, 934, 934, 1539]","[16065.0, 16131.0, 16310.0, 16450.0, 16551.0, 17058.0, 17058.0, 17058.0, 17059.0, 17059.0, 17176.0]"
37,"[5.0, 5.0, 3.0, 5.0, 5.0, 3.0]","[1433, 1544, 721, 1544, 1899, 1998]","[16012.0, 16370.0, 16370.0, 16388.0, 17085.0, 17143.0]"
38,"[3.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[1905, 946, 946, 3563, 3874, 4088]","[15280.0, 16205.0, 16205.0, 16473.0, 16981.0, 17719.0]"
39,"[3.0, 3.0, 3.0, 4.0, 4.0, 4.0]","[1058, 1058, 135, 1058, 1058, 135]","[15971.0, 15971.0, 15971.0, 16471.0, 16471.0, 16471.0]"
40,"[4.0, 5.0, 4.0, 4.0, 5.0]","[1058, 726, 135, 1058, 852]","[14590.0, 14590.0, 14590.0, 14590.0, 17108.0]"
41,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[3308, 3127, 3002, 2710, 2540, 2332, 510, 159]","[16013.0, 16013.0, 16013.0, 16013.0, 16013.0, 16013.0, 16013.0, 16013.0]"
42,"[5.0, 5.0, 5.0, 5.0, 5.0]","[1976, 1494, 2940, 4521, 3167]","[16263.0, 16319.0, 16547.0, 17064.0, 17064.0]"
43,"[4.0, 3.0, 5.0, 3.0, 4.0]","[3413, 3415, 4280, 1653, 5347]","[16424.0, 16626.0, 16708.0, 16708.0, 17278.0]"
44,"[4.0, 4.0, 4.0, 4.0, 4.0, 5.0, 4.0, 4.0, 4.0, 4.0, 3.0, 5.0, 5.0, 4.0, 4.0, 3.0, 4.0]","[3722, 4126, 1893, 95, 4418, 3681, 4481, 5029, 3183, 1833, 4923, 1035, 1035, 3881, 5395, 2337, 5219]","[16301.0, 16730.0, 16736.0, 16763.0, 16838.0, 17008.0, 17016.0, 17269.0, 17269.0, 17277.0, 17301.0, 17302.0, 17302.0, 17417.0, 17444.0, 17654.0, 17745.0]"
45,"[1.0, 1.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0]","[1965, 2148, 2671, 2148, 1965, 3909, 1888, 3239, 5192]","[16646.0, 16646.0, 16690.0, 16690.0, 16690.0, 16996.0, 16996.0, 16996.0, 17049.0]"
46,"[3.0, 5.0, 4.0, 5.0, 4.0, 5.0]","[46, 2559, 4336, 60, 5081, 5347]","[15929.0, 16364.0, 16469.0, 16553.0, 16940.0, 17227.0]"
47,"[5.0, 5.0, 5.0, 5.0, 2.0]","[934, 934, 425, 2173, 1424]","[16515.0, 16515.0, 16551.0, 16551.0, 16588.0]"
48,"[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]","[2540, 159, 2332, 2710, 3002, 510, 3308, 3127]","[16888.0, 16888.0, 16888.0, 16888.0, 16888.0, 16888.0, 16888.0, 16888.0]"
49,"[4.0, 4.0, 4.0, 4.0, 4.0]","[4365, 3069, 2591, 3943, 5198]","[16650.0, 16650.0, 16670.0, 16969.0, 17218.0]"
50,"[1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0]","[3631, 4034, 4051, 4046, 4044, 4038, 4040, 4036]","[16262.0, 16262.0, 16262.0, 16262.0, 16262.0, 16262.0, 16262.0, 16262.0]"
51,"[1.0, 2.0, 4.0, 2.0, 4.0, 5.0, 5.0]","[2095, 536, 37, 781, 1054, 2041, 207]","[15681.0, 16224.0, 16224.0, 16224.0, 16232.0, 17214.0, 17555.0]"
52,"[5.0, 2.0, 5.0, 5.0, 3.0, 3.0, 3.0, 2.0]","[1209, 1957, 1209, 685, 3044, 4358, 5274, 5293]","[17495.0, 17495.0, 17495.0, 17495.0, 17497.0, 17497.0, 17498.0, 17699.0]"
53,"[5.0, 5.0, 5.0, 5.0, 3.0, 3.0]","[1965, 2148, 2148, 1965, 1965, 2148]","[15926.0, 15926.0, 15926.0, 15926.0, 16096.0, 16096.0]"
54,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[557, 1430, 141, 4268, 158, 2162, 297]","[15821.0, 16164.0, 16543.0, 16543.0, 16790.0, 16790.0, 17005.0]"
55,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[985, 985, 1327, 4209, 3806, 1184, 1184]","[16878.0, 16878.0, 16878.0, 16922.0, 16922.0, 17193.0, 17193.0]"
56,"[5.0, 5.0, 5.0, 5.0, 5.0]","[359, 75, 1189, 1189, 703]","[14617.0, 15001.0, 15740.0, 15740.0, 16818.0]"
57,"[1.0, 3.0, 3.0, 5.0, 4.0]","[746, 1030, 1030, 119, 37]","[16244.0, 16244.0, 16244.0, 16244.0, 16244.0]"
58,"[5.0, 3.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[163, 3434, 211, 2698, 1861, 1177, 1177]","[15734.0, 15770.0, 16451.0, 16518.0, 16669.0, 16952.0, 16952.0]"
59,"[4.0, 4.0, 5.0, 3.0, 3.0, 4.0, 4.0, 4.0, 4.0, 2.0]","[3381, 2415, 3734, 352, 2686, 3709, 3707, 4224, 5299, 4357]","[16337.0, 16400.0, 16469.0, 16686.0, 16726.0, 16734.0, 16759.0, 16986.0, 17123.0, 17638.0]"
60,"[1.0, 1.0, 2.0, 2.0, 1.0, 1.0, 1.0]","[1084, 1084, 1209, 1209, 1084, 1084, 5152]","[16875.0, 16875.0, 16914.0, 16914.0, 16920.0, 16920.0, 17642.0]"
61,"[5.0, 5.0, 5.0, 5.0, 5.0]","[2696, 3926, 5311, 2246, 2245]","[16831.0, 16831.0, 17445.0, 17473.0, 17473.0]"
62,"[5.0, 5.0, 5.0, 5.0, 5.0]","[953, 953, 1393, 929, 929]","[16161.0, 16161.0, 16161.0, 16444.0, 16444.0]"
63,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[159, 510, 2540, 2332, 3308, 2710, 3002, 3127]","[16013.0, 16013.0, 16013.0, 16013.0, 16013.0, 16013.0, 16013.0, 16013.0]"
64,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[510, 2332, 2540, 2710, 3002, 3127, 3308, 159, 1562]","[15978.0, 15978.0, 15978.0, 15978.0, 15978.0, 15978.0, 15978.0, 15978.0, 17228.0]"
65,"[4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0]","[4174, 1111, 1111, 1165, 1165, 721, 3469, 4377]","[16553.0, 17048.0, 17048.0, 17066.0, 17066.0, 17102.0, 17200.0, 17218.0]"
66,"[5.0, 5.0, 4.0, 5.0, 5.0, 5.0]","[246, 401, 249, 1196, 1196, 268]","[15372.0, 15422.0, 15508.0, 15759.0, 15759.0, 15759.0]"
67,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[1165, 1162, 688, 677, 1177, 1177]","[17595.0, 17595.0, 17595.0, 17595.0, 17595.0, 17595.0]"
68,"[5.0, 5.0, 4.0, 5.0, 2.0]","[4163, 4100, 4439, 4676, 4473]","[17443.0, 17443.0, 17443.0, 17443.0, 17443.0]"
69,"[3.0, 4.0, 4.0, 3.0, 5.0, 4.0, 4.0, 3.0, 3.0, 4.0, 4.0, 4.0, 4.0, 3.0, 4.0, 5.0]","[2729, 3803, 2866, 4253, 1346, 4246, 4560, 883, 883, 2769, 862, 5103, 5258, 4825, 3542, 5247]","[16112.0, 16215.0, 16384.0, 16386.0, 16393.0, 16463.0, 16665.0, 16684.0, 16684.0, 16761.0, 16872.0, 16908.0, 17044.0, 17115.0, 17227.0, 17353.0]"
70,"[3.0, 5.0, 3.0, 5.0, 5.0]","[2297, 3069, 1544, 1366, 4656]","[15046.0, 15407.0, 16555.0, 16711.0, 16718.0]"
71,"[3.0, 3.0, 5.0, 5.0, 5.0, 5.0, 5.0, 1.0]","[978, 978, 977, 977, 977, 977, 3668, 2622]","[15705.0, 15705.0, 16269.0, 16269.0, 16446.0, 16446.0, 16577.0, 16859.0]"
72,"[5.0, 5.0, 4.0, 5.0, 5.0, 5.0]","[5261, 1088, 4048, 1088, 4058, 3417]","[16332.0, 16332.0, 16332.0, 16332.0, 16332.0, 16332.0]"
73,"[5.0, 5.0, 5.0, 4.0, 5.0, 4.0, 4.0]","[771, 926, 926, 3228, 2893, 1141, 1141]","[16076.0, 16076.0, 16076.0, 16076.0, 16090.0, 16817.0, 16817.0]"
74,"[5.0, 4.0, 3.0, 2.0, 4.0]","[3780, 4097, 4385, 4439, 5104]","[16167.0, 16382.0, 16539.0, 16559.0, 16888.0]"
75,"[4.0, 5.0, 5.0, 5.0, 4.0]","[2853, 1621, 1177, 1177, 4894]","[16437.0, 16473.0, 17179.0, 17179.0, 17179.0]"
76,"[2.0, 2.0, 2.0, 3.0, 3.0]","[486, 1198, 1198, 18, 610]","[17092.0, 17092.0, 17092.0, 17532.0, 17532.0]"
77,"[5.0, 3.0, 2.0, 5.0, 4.0, 4.0, 5.0, 4.0]","[138, 2522, 3527, 5074, 3559, 3561, 3655, 4773]","[14914.0, 16127.0, 16744.0, 16899.0, 16909.0, 16938.0, 16981.0, 17025.0]"
78,"[2.0, 1.0, 1.0, 1.0, 1.0, 2.0]","[2160, 721, 985, 985, 2159, 4904]","[17243.0, 17243.0, 17243.0, 17243.0, 17243.0, 17243.0]"
79,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[2710, 2540, 2332, 510, 159, 3002, 3308, 3127]","[16382.0, 16382.0, 16382.0, 16382.0, 16382.0, 16382.0, 16382.0, 16382.0]"
80,"[4.0, 3.0, 5.0, 4.0, 5.0, 4.0, 5.0, 5.0, 4.0, 5.0, 5.0, 4.0, 5.0, 4.0, 4.0, 5.0, 5.0, 4.0, 5.0, 5.0, 4.0, 5.0, 4.0, 4.0, 5.0, 4.0, 5.0, 4.0, 5.0, 4.0, 5.0, 3.0, 4.0, 5.0]","[3932, 3936, 4207, 3887, 4044, 4837, 1938, 4250, 2604, 4389, 654, 3645, 4978, 3587, 3681, 1144, 1144, 5302, 3471, 5197, 3742, 1601, 2603, 3651, 25, 3875, 4130, 4734, 3875, 111, 1746, 4975, 5009, 3012]","[16376.0, 16379.0, 16387.0, 16389.0, 16422.0, 16708.0, 16715.0, 16724.0, 16739.0, 16746.0, 16763.0, 16864.0, 16877.0, 16985.0, 17005.0, 17056.0, 17056.0, 17115.0, 17233.0, 17253.0, 17275.0, 17283.0, 17368.0, 17370.0, 17371.0, 17373.0, 17379.0, 17391.0, 17397.0, 17398.0, 17417.0, 17550.0, 17643.0, 17659.0]"
81,"[5.0, 5.0, 5.0, 5.0, 5.0]","[1519, 680, 20, 1625, 1609]","[15120.0, 15120.0, 15120.0, 15120.0, 16832.0]"
82,"[2.0, 5.0, 4.0, 4.0, 2.0, 3.0]","[99, 4417, 3669, 3651, 807, 656]","[17015.0, 17063.0, 17400.0, 17456.0, 17456.0, 17456.0]"
83,"[4.0, 4.0, 4.0, 4.0, 4.0]","[4599, 4821, 4607, 4600, 4565]","[17542.0, 17562.0, 17562.0, 17562.0, 17562.0]"
84,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[3127, 3308, 3002, 2710, 2540, 2332, 159, 510]","[16381.0, 16381.0, 16381.0, 16381.0, 16381.0, 16381.0, 16381.0, 16381.0]"
85,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[3417, 3842, 2530, 2094, 2411, 1786]","[16496.0, 16496.0, 16496.0, 16496.0, 16570.0, 16570.0]"
86,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[831, 1807, 1372, 953, 953, 1868]","[15857.0, 16391.0, 16391.0, 16391.0, 16391.0, 16391.0]"
87,"[5.0, 5.0, 5.0, 5.0, 3.0]","[1286, 615, 1807, 2458, 2416]","[14927.0, 15200.0, 15445.0, 15486.0, 15766.0]"
88,"[4.0, 5.0, 4.0, 4.0, 5.0, 5.0]","[486, 2589, 1198, 1198, 4740, 4323]","[16952.0, 16952.0, 16952.0, 16952.0, 16952.0, 16952.0]"
89,"[5.0, 5.0, 2.0, 5.0, 5.0]","[4415, 2205, 4561, 4777, 1746]","[16581.0, 16581.0, 16675.0, 16689.0, 16769.0]"
90,"[5.0, 5.0, 5.0, 5.0, 5.0]","[971, 968, 968, 970, 970]","[16723.0, 16723.0, 16723.0, 16723.0, 16723.0]"
91,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0]","[3053, 1924, 1746, 2016, 3434, 1275, 3875, 19, 21, 1366, 289]","[16154.0, 16307.0, 16307.0, 16410.0, 16410.0, 16954.0, 16961.0, 16961.0, 17042.0, 17115.0, 17541.0]"
92,"[3.0, 2.0, 5.0, 2.0, 3.0, 4.0, 4.0, 4.0]","[2340, 1819, 1747, 553, 2505, 200, 106, 3991]","[15282.0, 15282.0, 15935.0, 16078.0, 16258.0, 16307.0, 16307.0, 16354.0]"
93,"[5.0, 5.0, 5.0, 5.0, 5.0]","[1198, 1198, 5025, 5007, 4716]","[16541.0, 16541.0, 17148.0, 17321.0, 17321.0]"
94,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 4482, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1430, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480]","[17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0, 17348.0]"
95,"[1.0, 5.0, 2.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[459, 463, 458, 460, 469, 462, 472, 1262, 4917]","[16971.0, 16971.0, 16971.0, 16971.0, 16971.0, 16971.0, 16971.0, 17207.0, 17207.0]"
96,"[5.0, 5.0, 5.0, 5.0, 4.0]","[998, 998, 1031, 1031, 3996]","[16303.0, 16303.0, 16303.0, 16303.0, 17345.0]"
97,"[3.0, 5.0, 3.0, 5.0, 5.0, 5.0, 5.0, 3.0, 5.0]","[2148, 2116, 1965, 2671, 2148, 1965, 2148, 3676, 1965]","[15823.0, 15823.0, 15823.0, 16076.0, 16076.0, 16076.0, 16140.0, 16140.0, 16140.0]"
98,"[4.0, 5.0, 4.0, 4.0, 2.0]","[1746, 4203, 3254, 2992, 230]","[16485.0, 16485.0, 16485.0, 16485.0, 17254.0]"
99,"[5.0, 5.0, 5.0, 5.0, 3.0, 4.0, 5.0, 5.0, 4.0, 4.0, 5.0, 4.0, 4.0, 5.0, 4.0, 4.0, 5.0]","[2279, 205, 957, 957, 3413, 1893, 2273, 1893, 3260, 4978, 4482, 5370, 5317, 3133, 3651, 3875, 5136]","[16121.0, 16121.0, 16148.0, 16148.0, 16443.0, 16733.0, 16736.0, 16755.0, 16878.0, 16881.0, 16958.0, 16993.0, 17060.0, 17221.0, 17360.0, 17362.0, 17762.0]"
100,"[4.0, 4.0, 1.0, 5.0, 5.0, 1.0]","[919, 919, 915, 4372, 4545, 4446]","[16597.0, 16597.0, 16700.0, 17603.0, 17603.0, 17605.0]"
101,"[5.0, 4.0, 3.0, 5.0, 5.0, 5.0]","[198, 285, 3224, 1439, 1253, 2954]","[15782.0, 16074.0, 16373.0, 16487.0, 16605.0, 16860.0]"
102,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0]","[2005, 2394, 2648, 2649, 2704, 3001, 3651]","[17259.0, 17259.0, 17259.0, 17259.0, 17259.0, 17259.0, 17259.0]"
103,"[5.0, 1.0, 5.0, 5.0, 1.0]","[3945, 3153, 1397, 919, 2247]","[16828.0, 17269.0, 17326.0, 17326.0, 17694.0]"
