,reviewerID,overall,asin,unixReviewTime
37,38,"[3.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[1905, 946, 946, 3563, 3874, 4088]","[2682.0, 3607.0, 3607.001, 3875.0, 4383.0, 5121.0]"
38,39,"[3.0, 3.0, 3.0, 4.0, 4.0, 4.0]","[1058, 1058, 135, 1058, 1058, 135]","[3373.0, 3373.001, 3373.002, 3873.0, 3873.001, 3873.002]"
39,40,"[4.0, 5.0, 4.0, 4.0, 5.0]","[1058, 726, 135, 1058, 852]","[1992.0, 1992.001, 1992.002, 1992.003, 4510.0]"
40,41,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[3308, 3127, 3002, 2710, 2540, 2332, 510, 159]","[3415.0, 3415.001, 3415.002, 3415.003, 3415.004, 3415.005, 3415.006, 3415.007]"
41,42,"[5.0, 5.0, 5.0, 5.0, 5.0]","[1976, 1494, 2940, 4521, 3167]","[3665.0, 3721.0, 3949.0, 4466.0, 4466.001]"
42,43,"[4.0, 3.0, 5.0, 3.0, 4.0]","[3413, 3415, 4280, 1653, 5347]","[3826.0, 4028.0, 4110.0, 4110.001, 4680.0]"
43,44,"[4.0, 4.0, 4.0, 4.0, 4.0, 5.0, 4.0, 4.0, 4.0, 4.0, 3.0, 5.0, 5.0, 4.0, 4.0, 3.0, 4.0]","[3722, 4126, 1893, 95, 4418, 3681, 4481, 5029, 3183, 1833, 4923, 1035, 1035, 3881, 5395, 2337, 5219]","[3703.0, 4132.0, 4138.0, 4165.0, 4240.0, 4410.0, 4418.0, 4671.0, 4671.001, 4679.0, 4703.0, 4704.0, 4704.001, 4819.0, 4846.0, 5056.0, 5147.0]"
44,45,"[1.0, 1.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0]","[1965, 2148, 2671, 2148, 1965, 3909, 1888, 3239, 5192]","[4048.0, 4048.001, 4092.0, 4092.001, 4092.002, 4398.0, 4398.001, 4398.002, 4451.0]"
45,46,"[3.0, 5.0, 4.0, 5.0, 4.0, 5.0]","[46, 2559, 4336, 60, 5081, 5347]","[3331.0, 3766.0, 3871.0, 3955.0, 4342.0, 4629.0]"
46,47,"[5.0, 5.0, 5.0, 5.0, 2.0]","[934, 934, 425, 2173, 1424]","[3917.0, 3917.001, 3953.0, 3953.001, 3990.0]"
47,48,"[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]","[2540, 159, 2332, 2710, 3002, 510, 3308, 3127]","[4290.0, 4290.001, 4290.002, 4290.003, 4290.004, 4290.005, 4290.006, 4290.007]"
48,49,"[4.0, 4.0, 4.0, 4.0, 4.0]","[4365, 3069, 2591, 3943, 5198]","[4052.0, 4052.001, 4072.0, 4371.0, 4620.0]"
49,50,"[1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0]","[3631, 4034, 4051, 4046, 4044, 4038, 4040, 4036]","[3664.0, 3664.001, 3664.002, 3664.003, 3664.004, 3664.005, 3664.006, 3664.007]"
50,51,"[1.0, 2.0, 4.0, 2.0, 4.0, 5.0, 5.0]","[2095, 536, 37, 781, 1054, 2041, 207]","[3083.0, 3626.0, 3626.001, 3626.002, 3634.0, 4616.0, 4957.0]"
51,52,"[5.0, 2.0, 5.0, 5.0, 3.0, 3.0, 3.0, 2.0]","[1209, 1957, 1209, 685, 3044, 4358, 5274, 5293]","[4897.0, 4897.001, 4897.002, 4897.003, 4899.0, 4899.001, 4900.0, 5101.0]"
52,53,"[5.0, 5.0, 5.0, 5.0, 3.0, 3.0]","[1965, 2148, 2148, 1965, 1965, 2148]","[3328.0, 3328.001, 3328.002, 3328.003, 3498.0, 3498.001]"
53,54,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[557, 1430, 141, 4268, 158, 2162, 297]","[3223.0, 3566.0, 3945.0, 3945.001, 4192.0, 4192.001, 4407.0]"
54,55,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[985, 985, 1327, 4209, 3806, 1184, 1184]","[4280.0, 4280.001, 4280.002, 4324.0, 4324.001, 4595.0, 4595.001]"
55,56,"[5.0, 5.0, 5.0, 5.0, 5.0]","[359, 75, 1189, 1189, 703]","[2019.0, 2403.0, 3142.0, 3142.001, 4220.0]"
56,57,"[1.0, 3.0, 3.0, 5.0, 4.0]","[746, 1030, 1030, 119, 37]","[3646.0, 3646.001, 3646.002, 3646.003, 3646.004]"
57,58,"[5.0, 3.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[163, 3434, 211, 2698, 1861, 1177, 1177]","[3136.0, 3172.0, 3853.0, 3920.0, 4071.0, 4354.0, 4354.001]"
58,59,"[4.0, 4.0, 5.0, 3.0, 3.0, 4.0, 4.0, 4.0, 4.0, 2.0]","[3381, 2415, 3734, 352, 2686, 3709, 3707, 4224, 5299, 4357]","[3739.0, 3802.0, 3871.0, 4088.0, 4128.0, 4136.0, 4161.0, 4388.0, 4525.0, 5040.0]"
59,60,"[1.0, 1.0, 2.0, 2.0, 1.0, 1.0, 1.0]","[1084, 1084, 1209, 1209, 1084, 1084, 5152]","[4277.0, 4277.001, 4316.0, 4316.001, 4322.0, 4322.001, 5044.0]"
60,61,"[5.0, 5.0, 5.0, 5.0, 5.0]","[2696, 3926, 5311, 2246, 2245]","[4233.0, 4233.001, 4847.0, 4875.0, 4875.001]"
61,62,"[5.0, 5.0, 5.0, 5.0, 5.0]","[953, 953, 1393, 929, 929]","[3563.0, 3563.001, 3563.002, 3846.0, 3846.001]"
62,63,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[159, 510, 2540, 2332, 3308, 2710, 3002, 3127]","[3415.0, 3415.001, 3415.002, 3415.003, 3415.004, 3415.005, 3415.006, 3415.007]"
63,64,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[510, 2332, 2540, 2710, 3002, 3127, 3308, 159, 1562]","[3380.0, 3380.001, 3380.002, 3380.003, 3380.004, 3380.005, 3380.006, 3380.007, 4630.0]"
64,65,"[4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0]","[4174, 1111, 1111, 1165, 1165, 721, 3469, 4377]","[3955.0, 4450.0, 4450.001, 4468.0, 4468.001, 4504.0, 4602.0, 4620.0]"
65,66,"[5.0, 5.0, 4.0, 5.0, 5.0, 5.0]","[246, 401, 249, 1196, 1196, 268]","[2774.0, 2824.0, 2910.0, 3161.0, 3161.001, 3161.002]"
66,67,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[1165, 1162, 688, 677, 1177, 1177]","[4997.0, 4997.001, 4997.002, 4997.003, 4997.004, 4997.005]"
67,68,"[5.0, 5.0, 4.0, 5.0, 2.0]","[4163, 4100, 4439, 4676, 4473]","[4845.0, 4845.001, 4845.002, 4845.003, 4845.004]"
68,69,"[3.0, 4.0, 4.0, 3.0, 5.0, 4.0, 4.0, 3.0, 3.0, 4.0, 4.0, 4.0, 4.0, 3.0, 4.0, 5.0]","[2729, 3803, 2866, 4253, 1346, 4246, 4560, 883, 883, 2769, 862, 5103, 5258, 4825, 3542, 5247]","[3514.0, 3617.0, 3786.0, 3788.0, 3795.0, 3865.0, 4067.0, 4086.0, 4086.001, 4163.0, 4274.0, 4310.0, 4446.0, 4517.0, 4629.0, 4755.0]"
69,70,"[3.0, 5.0, 3.0, 5.0, 5.0]","[2297, 3069, 1544, 1366, 4656]","[2448.0, 2809.0, 3957.0, 4113.0, 4120.0]"
70,71,"[3.0, 3.0, 5.0, 5.0, 5.0, 5.0, 5.0, 1.0]","[978, 978, 977, 977, 977, 977, 3668, 2622]","[3107.0, 3107.001, 3671.0, 3671.001, 3848.0, 3848.001, 3979.0, 4261.0]"
71,72,"[5.0, 5.0, 4.0, 5.0, 5.0, 5.0]","[5261, 1088, 4048, 1088, 4058, 3417]","[3734.0, 3734.001, 3734.002, 3734.003, 3734.004, 3734.005]"
72,73,"[5.0, 5.0, 5.0, 4.0, 5.0, 4.0, 4.0]","[771, 926, 926, 3228, 2893, 1141, 1141]","[3478.0, 3478.001, 3478.002, 3478.003, 3492.0, 4219.0, 4219.001]"
73,74,"[5.0, 4.0, 3.0, 2.0, 4.0]","[3780, 4097, 4385, 4439, 5104]","[3569.0, 3784.0, 3941.0, 3961.0, 4290.0]"
74,75,"[4.0, 5.0, 5.0, 5.0, 4.0]","[2853, 1621, 1177, 1177, 4894]","[3839.0, 3875.0, 4581.0, 4581.001, 4581.002]"
75,76,"[2.0, 2.0, 2.0, 3.0, 3.0]","[486, 1198, 1198, 18, 610]","[4494.0, 4494.001, 4494.002, 4934.0, 4934.001]"
76,77,"[5.0, 3.0, 2.0, 5.0, 4.0, 4.0, 5.0, 4.0]","[138, 2522, 3527, 5074, 3559, 3561, 3655, 4773]","[2316.0, 3529.0, 4146.0, 4301.0, 4311.0, 4340.0, 4383.0, 4427.0]"
77,78,"[2.0, 1.0, 1.0, 1.0, 1.0, 2.0]","[2160, 721, 985, 985, 2159, 4904]","[4645.0, 4645.001, 4645.002, 4645.003, 4645.004, 4645.005]"
78,79,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[2710, 2540, 2332, 510, 159, 3002, 3308, 3127]","[3784.0, 3784.001, 3784.002, 3784.003, 3784.004, 3784.005, 3784.006, 3784.007]"
79,80,"[4.0, 3.0, 5.0, 4.0, 5.0, 4.0, 5.0, 5.0, 4.0, 5.0, 5.0, 4.0, 5.0, 4.0, 4.0, 5.0, 5.0, 4.0, 5.0, 5.0, 4.0, 5.0, 4.0, 4.0, 5.0, 4.0, 5.0, 4.0, 5.0, 4.0, 5.0, 3.0, 4.0, 5.0]","[3932, 3936, 4207, 3887, 4044, 4837, 1938, 4250, 2604, 4389, 654, 3645, 4978, 3587, 3681, 1144, 1144, 5302, 3471, 5197, 3742, 1601, 2603, 3651, 25, 3875, 4130, 4734, 3875, 111, 1746, 4975, 5009, 3012]","[3778.0, 3781.0, 3789.0, 3791.0, 3824.0, 4110.0, 4117.0, 4126.0, 4141.0, 4148.0, 4165.0, 4266.0, 4279.0, 4387.0, 4407.0, 4458.0, 4458.001, 4517.0, 4635.0, 4655.0, 4677.0, 4685.0, 4770.0, 4772.0, 4773.0, 4775.0, 4781.0, 4793.0, 4799.0, 4800.0, 4819.0, 4952.0, 5045.0, 5061.0]"
80,81,"[5.0, 5.0, 5.0, 5.0, 5.0]","[1519, 680, 20, 1625, 1609]","[2522.0, 2522.001, 2522.002, 2522.003, 4234.0]"
81,82,"[2.0, 5.0, 4.0, 4.0, 2.0, 3.0]","[99, 4417, 3669, 3651, 807, 656]","[4417.0, 4465.0, 4802.0, 4858.0, 4858.001, 4858.002]"
82,83,"[4.0, 4.0, 4.0, 4.0, 4.0]","[4599, 4821, 4607, 4600, 4565]","[4944.0, 4964.0, 4964.001, 4964.002, 4964.003]"
83,84,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[3127, 3308, 3002, 2710, 2540, 2332, 159, 510]","[3783.0, 3783.001, 3783.002, 3783.003, 3783.004, 3783.005, 3783.006, 3783.007]"
84,85,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[3417, 3842, 2530, 2094, 2411, 1786]","[3898.0, 3898.001, 3898.002, 3898.003, 3972.0, 3972.001]"
85,86,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[831, 1807, 1372, 953, 953, 1868]","[3259.0, 3793.0, 3793.001, 3793.002, 3793.003, 3793.004]"
86,87,"[5.0, 5.0, 5.0, 5.0, 3.0]","[1286, 615, 1807, 2458, 2416]","[2329.0, 2602.0, 2847.0, 2888.0, 3168.0]"
87,88,"[4.0, 5.0, 4.0, 4.0, 5.0, 5.0]","[486, 2589, 1198, 1198, 4740, 4323]","[4354.0, 4354.001, 4354.002, 4354.003, 4354.004, 4354.005]"
88,89,"[5.0, 5.0, 2.0, 5.0, 5.0]","[4415, 2205, 4561, 4777, 1746]","[3983.0, 3983.001, 4077.0, 4091.0, 4171.0]"
89,90,"[5.0, 5.0, 5.0, 5.0, 5.0]","[971, 968, 968, 970, 970]","[4125.0, 4125.001, 4125.002, 4125.003, 4125.004]"
90,91,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0]","[3053, 1924, 1746, 2016, 3434, 1275, 3875, 19, 21, 1366, 289]","[3556.0, 3709.0, 3709.001, 3812.0, 3812.001, 4356.0, 4363.0, 4363.001, 4444.0, 4517.0, 4943.0]"
91,92,"[3.0, 2.0, 5.0, 2.0, 3.0, 4.0, 4.0, 4.0]","[2340, 1819, 1747, 553, 2505, 200, 106, 3991]","[2684.0, 2684.001, 3337.0, 3480.0, 3660.0, 3709.0, 3709.001, 3756.0]"
92,93,"[5.0, 5.0, 5.0, 5.0, 5.0]","[1198, 1198, 5025, 5007, 4716]","[3943.0, 3943.001, 4550.0, 4723.0, 4723.001]"
93,94,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 4482, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1430, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480]","[4750.0, 4750.001, 4750.002, 4750.003, 4750.004, 4750.005, 4750.006, 4750.007, 4750.008, 4750.009, 4750.01, 4750.011, 4750.012, 4750.013, 4750.014, 4750.015, 4750.016, 4750.017, 4750.018, 4750.019, 4750.02, 4750.021, 4750.022, 4750.023, 4750.024, 4750.025, 4750.026, 4750.027, 4750.028, 4750.029, 4750.03, 4750.031, 4750.032, 4750.033, 4750.034, 4750.035, 4750.036, 4750.037, 4750.038, 4750.039, 4750.04, 4750.041, 4750.042, 4750.043, 4750.044, 4750.045, 4750.046, 4750.047, 4750.048, 4750.049, 4750.05, 4750.051, 4750.052, 4750.053, 4750.054, 4750.055, 4750.056, 4750.057, 4750.058, 4750.059, 4750.06, 4750.061, 4750.062, 4750.063, 4750.064, 4750.065, 4750.066, 4750.067, 4750.068, 4750.069, 4750.07, 4750.071, 4750.072, 4750.073, 4750.074, 4750.075, 4750.076, 4750.077, 4750.078, 4750.079, 4750.08, 4750.081, 4750.082, 4750.083, 4750.084, 4750.085, 4750.086, 4750.087, 4750.088, 4750.089, 4750.09, 4750.091, 4750.092, 4750.093, 4750.094, 4750.095, 4750.096, 4750.097, 4750.098, 4750.099, 4750.1, 4750.101, 4750.102, 4750.103, 4750.104, 4750.105, 4750.106, 4750.107, 4750.108, 4750.109, 4750.11, 4750.111, 4750.112, 4750.113, 4750.114, 4750.115, 4750.116, 4750.117, 4750.118, 4750.119, 4750.12, 4750.121, 4750.122, 4750.123]"
94,95,"[1.0, 5.0, 2.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[459, 463, 458, 460, 469, 462, 472, 1262, 4917]","[4373.0, 4373.001, 4373.002, 4373.003, 4373.004, 4373.005, 4373.006, 4609.0, 4609.001]"
95,96,"[5.0, 5.0, 5.0, 5.0, 4.0]","[998, 998, 1031, 1031, 3996]","[3705.0, 3705.001, 3705.002, 3705.003, 4747.0]"
96,97,"[3.0, 5.0, 3.0, 5.0, 5.0, 5.0, 5.0, 3.0, 5.0]","[2148, 2116, 1965, 2671, 2148, 1965, 2148, 3676, 1965]","[3225.0, 3225.001, 3225.002, 3478.0, 3478.001, 3478.002, 3542.0, 3542.001, 3542.002]"
97,98,"[4.0, 5.0, 4.0, 4.0, 2.0]","[1746, 4203, 3254, 2992, 230]","[3887.0, 3887.001, 3887.002, 3887.003, 4656.0]"
98,99,"[5.0, 5.0, 5.0, 5.0, 3.0, 4.0, 5.0, 5.0, 4.0, 4.0, 5.0, 4.0, 4.0, 5.0, 4.0, 4.0, 5.0]","[2279, 205, 957, 957, 3413, 1893, 2273, 1893, 3260, 4978, 4482, 5370, 5317, 3133, 3651, 3875, 5136]","[3523.0, 3523.001, 3550.0, 3550.001, 3845.0, 4135.0, 4138.0, 4157.0, 4280.0, 4283.0, 4360.0, 4395.0, 4462.0, 4623.0, 4762.0, 4764.0, 5164.0]"
99,100,"[4.0, 4.0, 1.0, 5.0, 5.0, 1.0]","[919, 919, 915, 4372, 4545, 4446]","[3999.0, 3999.001, 4102.0, 5005.0, 5005.001, 5007.0]"
100,101,"[5.0, 4.0, 3.0, 5.0, 5.0, 5.0]","[198, 285, 3224, 1439, 1253, 2954]","[3184.0, 3476.0, 3775.0, 3889.0, 4007.0, 4262.0]"
