asin,overall,reviewerID,unixReviewTime
18,"[5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 3.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 3.0, 3.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 3.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 2.0, 4.0, 5.0, 5.0, 5.0, 2.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 3.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 4.0, 3.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 3.0, 5.0, 5.0, 3.0, 5.0, 3.0, 4.0, 5.0, 3.0, 5.0, 3.0, 5.0, 5.0, 5.0, 3.0, 5.0, 5.0, 5.0, 5.0, 5.0, 2.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 1.0, 5.0, 4.0, 5.0, 1.0, 5.0, 5.0, 5.0, 4.0, 4.0, 5.0, 5.0, 2.0, 4.0, 5.0, 5.0, 5.0, 3.0, 3.0, 5.0, 1.0, 4.0, 5.0, 5.0, 2.0, 3.0, 5.0, 5.0, 5.0, 4.0, 1.0, 5.0, 5.0, 1.0, 5.0, 5.0, 5.0, 5.0, 3.0, 5.0, 3.0]","[1636, 1636, 1636, 4599, 3776, 3561, 2806, 1427, 1427, 2806, 2898, 4032, 2935, 4070, 2530, 983, 2974, 2974, 226, 226, 5250, 352, 732, 3956, 1623, 1729, 1729, 4529, 4529, 4532, 3102, 2513, 2125, 2125, 1408, 732, 3972, 3972, 3972, 5713, 4800, 4800, 4645, 1912, 1912, 1234, 1234, 1918, 5486, 4005, 2584, 4005, 2530, 5419, 5650, 4428, 4485, 4485, 1465, 2309, 2309, 2309, 859, 3959, 1705, 3492, 3492, 3549, 1400, 2530, 5650, 5579, 5566, 981, 5083, 3242, 3242, 1539, 3858, 236, 1860, 3107, 3107, 5898, 2295, 1284, 1284, 5162, 5575, 4810, 5533, 4984, 4984, 4923, 4923, 2334, 5713, 1623, 5898, 1106, 4235, 666, 666, 666, 3721, 3721, 3146, 3808, 3808, 626, 3146, 956, 498, 498, 498, 498, 498, 498, 889, 1763, 1763, 5019, 5019, 5019, 195, 195, 195, 2213, 4209, 4209, 2755, 2755, 2755, 3364, 5625, 3639, 3639, 5383, 5902, 3836, 4143, 5620, 4265, 2090, 1712, 5845, 872, 4409, 1966, 3272, 4256, 1607, 5396, 1690, 3020, 3158, 5181, 1547, 238, 1941, 5750, 4137, 4687, 4574, 2049, 1003, 117, 1633, 1943, 4293, 5781, 4932, 3905, 825, 3126, 3915, 1554, 824, 897, 110, 3216, 2780, 3667, 3754, 545, 4677, 5430, 4938, 2502, 335, 5723, 5559, 76, 5661, 4215, 5179, 4898, 4398, 4237, 3943, 1128, 3100, 1054, 3007, 4544, 2088, 1049, 3291, 5139, 3585, 5197, 2812, 4196, 5258, 660]","[16868.0, 16868.0, 16868.0, 16876.0, 16882.0, 16882.0, 16886.0, 16889.0, 16889.0, 16891.0, 16906.0, 16914.0, 16914.0, 16918.0, 16922.0, 16923.0, 16930.0, 16930.0, 16932.0, 16932.0, 16933.0, 16935.0, 16935.0, 16943.0, 16945.0, 16950.0, 16950.0, 16950.0, 16950.0, 16952.0, 16960.0, 16960.0, 16962.0, 16962.0, 16963.0, 16970.0, 16970.0, 16970.0, 16970.0, 16974.0, 16977.0, 16977.0, 16979.0, 16981.0, 16981.0, 16987.0, 16987.0, 16989.0, 16990.0, 16992.0, 16992.0, 16992.0, 16993.0, 17004.0, 17007.0, 17007.0, 17008.0, 17008.0, 17010.0, 17015.0, 17015.0, 17015.0, 17027.0, 17035.0, 17036.0, 17040.0, 17040.0, 17044.0, 17046.0, 17047.0, 17047.0, 17049.0, 17052.0, 17055.0, 17056.0, 17057.0, 17057.0, 17059.0, 17059.0, 17060.0, 17062.0, 17067.0, 17067.0, 17069.0, 17069.0, 17073.0, 17073.0, 17083.0, 17085.0, 17087.0, 17089.0, 17097.0, 17097.0, 17101.0, 17101.0, 17103.0, 17103.0, 17108.0, 17112.0, 17113.0, 17113.0, 17116.0, 17116.0, 17116.0, 17121.0, 17121.0, 17122.0, 17122.0, 17122.0, 17122.0, 17122.0, 17133.0, 17137.0, 17137.0, 17137.0, 17137.0, 17137.0, 17137.0, 17137.0, 17142.0, 17142.0, 17144.0, 17144.0, 17144.0, 17146.0, 17146.0, 17146.0, 17147.0, 17148.0, 17148.0, 17149.0, 17149.0, 17149.0, 17150.0, 17150.0, 17152.0, 17152.0, 17154.0, 17157.0, 17157.0, 17161.0, 17161.0, 17163.0, 17169.0, 17176.0, 17182.0, 17190.0, 17213.0, 17232.0, 17233.0, 17244.0, 17247.0, 17250.0, 17259.0, 17274.0, 17275.0, 17281.0, 17287.0, 17289.0, 17290.0, 17302.0, 17302.0, 17310.0, 17313.0, 17313.0, 17314.0, 17318.0, 17325.0, 17328.0, 17339.0, 17340.0, 17342.0, 17349.0, 17357.0, 17360.0, 17367.0, 17370.0, 17386.0, 17406.0, 17408.0, 17410.0, 17413.0, 17415.0, 17419.0, 17427.0, 17431.0, 17442.0, 17446.0, 17456.0, 17466.0, 17507.0, 17517.0, 17532.0, 17533.0, 17541.0, 17543.0, 17544.0, 17551.0, 17560.0, 17568.0, 17590.0, 17590.0, 17592.0, 17594.0, 17594.0, 17595.0, 17600.0, 17604.0, 17608.0, 17624.0, 17632.0, 17634.0, 17637.0, 17642.0, 17663.0]"
19,"[4.0, 5.0, 4.0, 4.0, 5.0, 4.0, 5.0, 5.0, 5.0]","[3370, 4075, 1956, 713, 91, 2502, 5197, 4677, 3029]","[15405.0, 15629.0, 15998.0, 16621.0, 16961.0, 17598.0, 17632.0, 17642.0, 17646.0]"
20,"[5.0, 5.0, 5.0, 4.0, 4.0, 5.0, 5.0, 5.0, 5.0, 3.0, 1.0, 2.0, 4.0, 5.0, 5.0, 1.0, 4.0, 4.0, 5.0, 4.0, 5.0, 3.0, 4.0, 5.0, 1.0, 2.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 1.0, 5.0, 1.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 3.0, 3.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 4.0, 4.0, 5.0, 5.0, 1.0, 5.0, 5.0, 2.0, 5.0, 5.0]","[2618, 2618, 81, 181, 3370, 1634, 5339, 2745, 4404, 222, 5868, 5868, 4998, 4998, 4925, 817, 3895, 3895, 3535, 3096, 3546, 1884, 3435, 4989, 1573, 336, 5573, 236, 1860, 1860, 1860, 626, 336, 4206, 3541, 4235, 2795, 1966, 3858, 1690, 4098, 4757, 3158, 4677, 3685, 2014, 5430, 882, 5238, 4676, 1665, 4237, 3209, 4659, 3905, 5307, 5702, 1054, 1775, 3291, 927, 5197]","[15091.0, 15112.0, 15120.0, 15195.0, 15263.0, 15527.0, 15715.0, 15898.0, 16303.0, 16330.0, 16387.0, 16387.0, 16438.0, 16438.0, 16539.0, 16581.0, 16630.0, 16630.0, 16669.0, 16703.0, 16721.0, 16741.0, 16745.0, 16751.0, 16965.0, 16999.0, 17038.0, 17060.0, 17062.0, 17062.0, 17062.0, 17122.0, 17149.0, 17182.0, 17204.0, 17205.0, 17214.0, 17218.0, 17231.0, 17259.0, 17318.0, 17384.0, 17405.0, 17412.0, 17412.0, 17435.0, 17442.0, 17443.0, 17471.0, 17475.0, 17494.0, 17499.0, 17526.0, 17533.0, 17566.0, 17570.0, 17585.0, 17592.0, 17602.0, 17604.0, 17610.0, 17632.0]"
21,"[5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 4.0, 5.0, 5.0, 5.0, 5.0, 4.0, 3.0, 3.0, 5.0, 3.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 3.0, 2.0, 5.0, 1.0, 5.0, 5.0]","[2618, 1634, 1634, 2334, 2426, 2298, 3535, 3535, 5446, 5446, 5630, 5630, 5630, 5630, 4532, 4532, 4532, 2000, 2107, 4800, 2799, 5250, 5250, 1147, 4989, 4982, 4989, 1729, 1729, 5713, 1763, 3943, 2107, 1106, 1106, 1943, 800, 4141, 2396, 2575, 2575, 3492, 5831, 91, 5831, 5831, 4574, 962, 3946, 2755, 2755, 2755, 3217, 1966, 3020, 4757, 1003, 3126, 3858, 110]","[15052.0, 15114.0, 15944.0, 16079.0, 16251.0, 16275.0, 16669.0, 16669.0, 16863.0, 16863.0, 16875.0, 16875.0, 16875.0, 16875.0, 16898.0, 16898.0, 16898.0, 16906.0, 16910.0, 16915.0, 16933.0, 16933.0, 16933.0, 16936.0, 16946.0, 16946.0, 16947.0, 16947.0, 16950.0, 16974.0, 16977.0, 16996.0, 16998.0, 17004.0, 17004.0, 17010.0, 17015.0, 17018.0, 17034.0, 17036.0, 17036.0, 17040.0, 17042.0, 17042.0, 17042.0, 17042.0, 17068.0, 17074.0, 17120.0, 17149.0, 17149.0, 17149.0, 17223.0, 17230.0, 17274.0, 17301.0, 17364.0, 17367.0, 17395.0, 17408.0]"
22,"[5.0, 5.0, 4.0, 5.0]","[2295, 3517, 3007, 5307]","[17532.0, 17546.0, 17594.0, 17610.0]"
23,[5.0],[1931],[16958.0]
24,"[5.0, 5.0, 5.0, 4.0, 3.0, 4.0, 1.0, 3.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 2.0, 5.0, 5.0, 5.0, 4.0, 3.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 1.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 2.0, 5.0, 3.0, 3.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[3966, 2735, 855, 4398, 4398, 2735, 2505, 775, 5631, 5631, 1779, 1779, 4375, 5391, 573, 711, 4971, 825, 1291, 3852, 2110, 3282, 4532, 2298, 2355, 2705, 3946, 1179, 1105, 3516, 375, 1820, 3603, 3641, 3836, 5831, 626, 5845, 5620, 5396, 4064, 3126, 4898, 1665, 3837, 3209, 4999, 4687, 4347, 4233]","[14755.0, 14909.0, 15012.0, 15046.0, 15070.0, 15313.0, 15352.0, 15405.0, 15421.0, 15421.0, 15515.0, 15515.0, 15571.0, 15621.0, 15660.0, 15692.0, 15749.0, 15792.0, 15981.0, 16022.0, 16040.0, 16246.0, 16265.0, 16275.0, 16299.0, 16416.0, 16424.0, 16451.0, 16488.0, 16600.0, 16666.0, 16693.0, 16743.0, 16945.0, 16967.0, 17042.0, 17181.0, 17201.0, 17243.0, 17249.0, 17317.0, 17367.0, 17375.0, 17482.0, 17506.0, 17526.0, 17546.0, 17556.0, 17589.0, 17618.0]"
25,"[5.0, 2.0, 4.0, 4.0, 5.0, 4.0, 5.0, 5.0, 3.0, 5.0, 5.0, 5.0, 5.0, 4.0, 1.0, 3.0, 2.0, 5.0, 5.0, 3.0, 3.0, 5.0, 4.0, 5.0, 3.0, 4.0, 5.0, 4.0, 5.0, 4.0, 4.0, 4.0, 3.0, 3.0, 5.0, 5.0, 3.0, 5.0, 4.0, 4.0, 5.0, 4.0, 3.0, 5.0, 5.0, 3.0, 4.0, 4.0, 5.0, 4.0, 5.0, 4.0, 4.0, 4.0, 4.0, 4.0, 5.0, 4.0, 5.0, 4.0, 4.0, 5.0, 5.0, 4.0, 4.0, 5.0, 5.0, 1.0, 5.0, 4.0, 5.0, 5.0, 5.0, 4.0, 4.0, 4.0, 3.0, 5.0, 5.0, 4.0, 5.0, 4.0, 4.0, 5.0, 5.0, 5.0, 4.0, 4.0, 5.0, 5.0, 5.0, 4.0, 3.0, 3.0, 3.0, 4.0, 4.0, 3.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 2.0, 3.0, 3.0, 3.0, 3.0, 5.0, 4.0, 3.0, 3.0, 5.0, 5.0, 4.0, 5.0, 5.0, 3.0, 4.0, 4.0, 4.0, 5.0, 5.0, 4.0, 4.0, 5.0, 3.0, 4.0, 5.0, 5.0, 5.0, 3.0, 5.0, 3.0, 5.0, 5.0, 5.0, 4.0, 4.0, 4.0, 4.0, 4.0, 5.0, 4.0, 5.0, 4.0, 2.0, 4.0, 4.0, 5.0, 4.0, 4.0, 4.0, 5.0, 4.0, 4.0, 4.0, 3.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 3.0, 4.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 4.0, 5.0, 5.0, 3.0, 4.0, 5.0, 3.0, 4.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 3.0, 4.0, 5.0, 2.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 3.0, 5.0, 5.0, 2.0, 3.0, 5.0, 5.0, 5.0, 4.0, 5.0, 2.0, 5.0, 3.0, 5.0, 4.0, 4.0, 5.0, 5.0, 2.0, 5.0, 5.0, 3.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 3.0, 5.0, 5.0, 5.0, 4.0, 5.0, 4.0, 3.0, 4.0, 5.0, 5.0, 2.0, 5.0, 4.0, 5.0, 5.0, 3.0, 5.0, 4.0, 3.0, 3.0, 3.0, 5.0, 3.0, 5.0, 4.0, 5.0, 5.0, 4.0, 5.0, 5.0, 1.0, 5.0, 2.0, 5.0, 5.0, 5.0, 3.0, 4.0, 3.0, 5.0, 5.0, 4.0, 3.0, 5.0, 5.0, 4.0, 4.0, 4.0, 4.0, 5.0, 5.0, 5.0, 3.0, 4.0, 5.0, 5.0, 4.0, 5.0, 4.0, 3.0, 5.0, 4.0, 5.0, 5.0, 4.0, 5.0, 5.0, 2.0, 4.0, 4.0, 3.0]","[3951, 2355, 235, 4091, 3683, 5813, 2809, 766, 765, 2490, 2090, 2304, 2304, 2116, 3311, 3092, 4081, 2045, 2446, 5640, 11, 5908, 3996, 2472, 1974, 650, 3149, 5557, 3055, 2540, 3094, 3456, 2653, 1164, 1242, 4161, 3687, 4308, 3172, 5638, 1243, 1181, 3191, 3558, 3149, 224, 2054, 4240, 2769, 810, 3960, 3482, 5638, 1581, 435, 5349, 5424, 406, 672, 3830, 5558, 1324, 1846, 1846, 4053, 113, 5826, 11, 1409, 5561, 5257, 2961, 2472, 4140, 5656, 3398, 104, 3105, 3296, 2011, 2797, 2011, 3094, 1750, 839, 1668, 1780, 1554, 4417, 4417, 4417, 4417, 755, 2139, 542, 5196, 5804, 2681, 1825, 4913, 166, 3816, 658, 658, 3726, 4018, 4018, 4018, 4018, 2686, 3588, 4018, 4018, 3299, 5659, 5243, 2961, 1421, 5347, 839, 839, 839, 185, 4534, 5596, 2964, 1959, 2576, 1825, 1403, 1403, 1403, 19, 3588, 2642, 5441, 3067, 3067, 3588, 3296, 3713, 4714, 3713, 3507, 4851, 1750, 2938, 2240, 2938, 2273, 4325, 2817, 2992, 5234, 3076, 1825, 1825, 1825, 5063, 3783, 2280, 3027, 1846, 5234, 5123, 1846, 4417, 1825, 4894, 2070, 3175, 1027, 1825, 4894, 4158, 3067, 5532, 2844, 3753, 4001, 3191, 1866, 425, 3097, 3097, 851, 1421, 2961, 5532, 5532, 2405, 3624, 4714, 3624, 648, 820, 5879, 4913, 581, 2238, 2280, 3412, 5123, 185, 2238, 5532, 3105, 421, 4986, 4506, 4718, 3412, 1902, 1950, 421, 4718, 431, 1819, 4119, 1950, 1692, 3834, 1660, 1660, 2280, 2280, 2814, 2260, 3296, 4523, 2280, 2675, 2182, 2675, 2540, 1353, 5780, 4199, 1744, 1744, 1744, 5484, 2495, 2182, 2182, 2160, 2260, 522, 1655, 4418, 1819, 3105, 1331, 5234, 2075, 2283, 4441, 716, 80, 3350, 5294, 5294, 2946, 4848, 5294, 2803, 381, 4761, 1133, 979, 2534, 4765, 4273, 5193, 5026, 2909, 2660, 3385, 5021, 3456, 5234, 4600, 4600, 1692, 4313, 4624, 1392, 1319, 2075, 2495, 5804, 5113, 5113, 4633, 3711, 945, 2359, 4754, 5662, 3841, 5812, 1984, 5592, 3179, 3210, 2661, 1783, 427, 2267, 4919, 5028, 1429, 908]","[15613.0, 16299.0, 16408.0, 16421.0, 16560.0, 16656.0, 16690.0, 16721.0, 16832.0, 16849.0, 16953.0, 17164.0, 17164.0, 17329.0, 17329.0, 17329.0, 17329.0, 17330.0, 17330.0, 17330.0, 17330.0, 17330.0, 17331.0, 17331.0, 17332.0, 17332.0, 17332.0, 17332.0, 17332.0, 17333.0, 17333.0, 17333.0, 17333.0, 17333.0, 17333.0, 17333.0, 17333.0, 17333.0, 17334.0, 17334.0, 17334.0, 17334.0, 17334.0, 17334.0, 17334.0, 17334.0, 17334.0, 17335.0, 17335.0, 17335.0, 17335.0, 17335.0, 17335.0, 17336.0, 17336.0, 17336.0, 17336.0, 17336.0, 17336.0, 17336.0, 17336.0, 17336.0, 17336.0, 17336.0, 17336.0, 17337.0, 17337.0, 17337.0, 17337.0, 17337.0, 17337.0, 17337.0, 17338.0, 17338.0, 17338.0, 17338.0, 17338.0, 17338.0, 17338.0, 17338.0, 17339.0, 17339.0, 17339.0, 17339.0, 17340.0, 17340.0, 17340.0, 17340.0, 17340.0, 17340.0, 17340.0, 17340.0, 17340.0, 17341.0, 17341.0, 17341.0, 17341.0, 17341.0, 17341.0, 17341.0, 17342.0, 17342.0, 17342.0, 17342.0, 17342.0, 17343.0, 17343.0, 17343.0, 17343.0, 17343.0, 17343.0, 17343.0, 17343.0, 17343.0, 17343.0, 17343.0, 17343.0, 17343.0, 17343.0, 17344.0, 17344.0, 17344.0, 17344.0, 17344.0, 17344.0, 17344.0, 17344.0, 17344.0, 17344.0, 17344.0, 17344.0, 17344.0, 17345.0, 17345.0, 17345.0, 17345.0, 17345.0, 17345.0, 17345.0, 17345.0, 17346.0, 17346.0, 17346.0, 17346.0, 17346.0, 17346.0, 17346.0, 17346.0, 17346.0, 17347.0, 17347.0, 17347.0, 17347.0, 17347.0, 17347.0, 17348.0, 17348.0, 17348.0, 17348.0, 17349.0, 17349.0, 17349.0, 17349.0, 17349.0, 17349.0, 17349.0, 17349.0, 17350.0, 17350.0, 17350.0, 17350.0, 17350.0, 17350.0, 17350.0, 17351.0, 17351.0, 17351.0, 17351.0, 17351.0, 17351.0, 17351.0, 17351.0, 17351.0, 17352.0, 17352.0, 17352.0, 17352.0, 17352.0, 17353.0, 17353.0, 17353.0, 17353.0, 17353.0, 17353.0, 17353.0, 17353.0, 17354.0, 17354.0, 17354.0, 17354.0, 17354.0, 17354.0, 17354.0, 17354.0, 17354.0, 17355.0, 17356.0, 17356.0, 17356.0, 17356.0, 17356.0, 17356.0, 17356.0, 17356.0, 17356.0, 17357.0, 17357.0, 17357.0, 17357.0, 17357.0, 17358.0, 17358.0, 17358.0, 17358.0, 17358.0, 17359.0, 17359.0, 17360.0, 17360.0, 17360.0, 17361.0, 17361.0, 17361.0, 17361.0, 17361.0, 17362.0, 17362.0, 17362.0, 17364.0, 17364.0, 17364.0, 17364.0, 17364.0, 17365.0, 17365.0, 17365.0, 17365.0, 17365.0, 17367.0, 17367.0, 17367.0, 17368.0, 17369.0, 17370.0, 17371.0, 17371.0, 17371.0, 17371.0, 17371.0, 17372.0, 17373.0, 17373.0, 17373.0, 17373.0, 17373.0, 17376.0, 17376.0, 17376.0, 17376.0, 17376.0, 17379.0, 17380.0, 17382.0, 17383.0, 17384.0, 17384.0, 17385.0, 17385.0, 17391.0, 17392.0, 17395.0, 17396.0, 17396.0, 17396.0, 17397.0, 17398.0, 17400.0, 17401.0, 17401.0, 17402.0, 17402.0, 17405.0, 17405.0, 17406.0, 17407.0, 17412.0, 17415.0, 17419.0, 17420.0, 17437.0, 17450.0, 17452.0, 17453.0, 17473.0, 17473.0, 17522.0, 17524.0, 17538.0, 17571.0, 17576.0, 17590.0, 17603.0, 17630.0]"
26,"[5.0, 4.0, 4.0, 3.0, 3.0, 5.0, 5.0, 5.0, 3.0, 5.0, 4.0, 5.0, 3.0, 5.0, 1.0, 3.0, 5.0, 5.0, 5.0, 5.0, 2.0, 1.0]","[4073, 4896, 4896, 4896, 5075, 3333, 5811, 5811, 154, 5098, 631, 3024, 2004, 1618, 4362, 5507, 5693, 995, 2302, 3623, 508, 5786]","[15538.0, 15736.0, 16224.0, 16224.0, 16405.0, 16495.0, 16589.0, 16589.0, 16624.0, 16632.0, 16637.0, 16799.0, 16827.0, 16924.0, 16970.0, 16982.0, 17023.0, 17237.0, 17257.0, 17556.0, 17576.0, 17620.0]"
27,"[4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 3.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 3.0, 3.0, 5.0, 4.0, 1.0, 5.0]","[2366, 5693, 5618, 1672, 5098, 4910, 2, 3333, 2, 4392, 2, 5217, 1497, 835, 2004, 3402, 4915, 4881, 1515, 132, 5074, 1005, 5285, 133, 1470, 4346, 4991, 768, 4886, 4292]","[16063.0, 16163.0, 16350.0, 16356.0, 16386.0, 16474.0, 16482.0, 16495.0, 16524.0, 16562.0, 16563.0, 16739.0, 16749.0, 16756.0, 16798.0, 16868.0, 17041.0, 17044.0, 17201.0, 17225.0, 17228.0, 17282.0, 17381.0, 17384.0, 17401.0, 17505.0, 17522.0, 17523.0, 17571.0, 17655.0]"
28,"[5.0, 5.0, 3.0, 5.0, 2.0]","[3333, 4634, 1724, 5597, 1017]","[16505.0, 16983.0, 17304.0, 17351.0, 17431.0]"
29,"[5.0, 5.0, 3.0]","[2553, 2930, 5029]","[16330.0, 16865.0, 17142.0]"
30,"[5.0, 4.0]","[2201, 5614]","[15352.0, 16583.0]"
31,[4.0],[5504],[16079.0]
32,"[4.0, 5.0, 5.0, 5.0, 5.0]","[2375, 3620, 5615, 2248, 2339]","[16065.0, 16304.0, 16389.0, 16618.0, 17610.0]"
33,[5.0],[3142],[16352.0]
34,[5.0],[5811],[16589.0]
35,"[5.0, 5.0, 5.0]","[2186, 2955, 5641]","[15859.0, 16656.0, 16731.0]"
36,"[5.0, 4.0, 5.0, 5.0, 5.0, 5.0]","[776, 1658, 3772, 5423, 1254, 2930]","[16176.0, 16681.0, 16728.0, 16893.0, 17584.0, 17591.0]"
37,"[2.0, 4.0, 1.0, 4.0, 4.0, 5.0, 5.0, 5.0, 5.0, 1.0, 5.0]","[814, 2232, 452, 51, 57, 2543, 3033, 3483, 535, 5358, 2760]","[15703.0, 16094.0, 16183.0, 16224.0, 16244.0, 16454.0, 16483.0, 16719.0, 16978.0, 17184.0, 17383.0]"
