asin,overall,reviewerID,unixReviewTime
392,"[5.0, 5.0, 4.0]","[200, 148, 3778]","[15247.0, 15833.0, 16071.0]"
393,"[5.0, 5.0, 3.0]","[5040, 5040, 6954]","[15420.0, 15516.0, 15778.0]"
394,[5.0],[6954],[16308.0]
395,[5.0],[1254],[16476.0]
396,[5.0],[3475],[15296.0]
397,[3.0],[297],[15686.0]
398,[5.0],[2126],[14433.0]
399,[5.0],[1543],[16585.0]
400,[5.0],[5436],[13161.0]
401,[5.0],[3176],[16251.0]
402,"[5.0, 5.0]","[6954, 666]","[15065.0, 15149.0]"
403,"[5.0, 5.0]","[7226, 6935]","[16174.0, 16220.0]"
404,[4.0],[70],[15723.0]
405,[4.0],[70],[15332.0]
406,"[5.0, 4.0, 5.0]","[857, 857, 3946]","[15748.0, 15897.0, 17376.0]"
407,[5.0],[2575],[13229.0]
408,[4.0],[6059],[13445.0]
409,[4.0],[4613],[14449.0]
410,[5.0],[5806],[15384.0]
411,"[5.0, 5.0, 4.0, 5.0]","[1704, 2434, 7199, 6227]","[15814.0, 16010.0, 16120.0, 16322.0]"
412,[5.0],[3728],[15670.0]
413,[5.0],[6779],[16099.0]
414,[5.0],[723],[14573.0]
415,[4.0],[4265],[13290.0]
416,[5.0],[5153],[16511.0]
417,[5.0],[2126],[14701.0]
418,[3.0],[1786],[15815.0]
419,[5.0],[3725],[15273.0]
420,"[5.0, 5.0]","[1895, 6780]","[16357.0, 16729.0]"
421,"[4.0, 3.0]","[2663, 6053]","[15863.0, 16010.0]"
422,[5.0],[4206],[16456.0]
423,[5.0],[2759],[16337.0]
424,[5.0],[4206],[16015.0]
425,[3.0],[2708],[16043.0]
426,"[3.0, 5.0]","[6015, 290]","[14502.0, 17602.0]"
427,"[4.0, 5.0, 5.0]","[6459, 5563, 3024]","[15049.0, 16446.0, 17152.0]"
428,[5.0],[6299],[17117.0]
429,[3.0],[5532],[17218.0]
430,[3.0],[1095],[15391.0]
431,"[4.0, 4.0, 4.0, 5.0]","[6954, 6954, 2361, 2361]","[15773.0, 16645.0, 16982.0, 17000.0]"
432,"[5.0, 5.0]","[3533, 3438]","[16827.0, 16938.0]"
433,"[5.0, 5.0]","[5806, 332]","[15369.0, 16182.0]"
434,"[5.0, 3.0, 3.0]","[6823, 6954, 6954]","[14870.0, 15775.0, 16333.0]"
435,[4.0],[4717],[15417.0]
